Airport,Degree,Strength,Clustering Coefficient,Average Path Length,Maximum Path Length,Betweenness,Eigenvector Centrality,PageRank
AAA,2,92.0,1.00000000,4.51575456,12,0.00000000,0.00008972,0.00006474
AAE,6,7284.0,0.73333333,3.67661692,11,0.00006389,0.00591556,0.00021963
AAL,3,13071.0,1.00000000,3.90934218,11,0.00000000,0.00331886,0.00018345
AAN,11,3224.5,0.67272727,3.92675511,11,0.00001012,0.00698124,0.00009870
AAQ,10,1690.0,0.33333333,3.80901050,11,0.00002003,0.00656516,0.00009258
AAR,6,11653.0,0.93333333,3.59977888,11,0.00000002,0.00910678,0.00016357
AAT,1,28.5,0.00000000,4.68131564,12,0.00000000,0.00012470,0.00004217
AAU,1,38.0,0.00000000,5.63045882,13,0.00000000,0.00000087,0.00005064
AAY,4,646.0,0.83333333,4.51658375,12,0.00000006,0.00059530,0.00007323
ABA,1,164.0,0.00000000,4.87119956,12,0.00000000,0.00006834,0.00004813
ABD,4,2918.0,0.83333333,3.95494748,11,0.00000303,0.00238175,0.00011169
ABE,14,21783.0,0.92307692,3.64483140,12,0.00000227,0.02078037,0.00019117
ABI,3,2582.0,1.00000000,3.93117745,12,0.00000000,0.00354805,0.00005878
ABJ,28,25044.5,0.35449735,3.46545053,11,0.00095033,0.02444292,0.00062331
ABK,3,250.0,1.00000000,5.42675511,13,0.00000000,0.00000783,0.00012533
ABL,4,278.0,0.66666667,5.19071310,13,0.00000275,0.00000630,0.00014006
ABM,3,268.0,0.33333333,4.46323936,10,0.00027576,0.00008995,0.00007105
ABQ,36,105678.0,0.34126984,3.42205638,11,0.00418884,0.02902631,0.00106762
ABR,3,2958.0,0.33333333,4.04532891,12,0.00055294,0.00143021,0.00016245
ABS,1,4391.0,0.00000000,4.66086235,12,0.00000000,0.00009173,0.00011370
ABT,2,2210.0,1.00000000,4.08955224,11,0.00000000,0.00172930,0.00007668
ABV,3,3253.0,0.66666667,3.70646766,11,0.00008556,0.00366321,0.00013344
ABX,5,3935.0,0.60000000,4.21254837,11,0.00000570,0.00046364,0.00014744
ABY,1,1410.0,0.00000000,3.91487009,12,0.00000000,0.00216869,0.00005053
ABZ,22,32727.5,0.28138528,3.58264234,11,0.00374792,0.01468783,0.00061096
ACA,8,13579.0,0.67857143,3.90049751,12,0.00004419,0.00638311,0.00017912
ACC,24,16868.5,0.31884058,3.35931454,11,0.00073384,0.02414955,0.00039925
ACE,38,27079.5,0.47510669,3.53012714,11,0.00005577,0.04137068,0.00029049
ACH,1,1300.0,0.00000000,3.98783858,12,0.00000000,0.00211557,0.00005457
ACI,3,907.5,1.00000000,4.50608071,12,0.00000000,0.00084423,0.00005369
ACK,6,3841.0,0.60000000,3.70149254,12,0.00046284,0.00512283,0.00016019
ACT,4,2406.0,0.83333333,3.93090105,12,0.00000005,0.00361113,0.00005780
ACV,5,3987.0,0.60000000,3.86235489,11,0.00000255,0.00266399,0.00010065
ADA,7,10704.0,0.71428571,3.63239359,11,0.00001317,0.01068776,0.00020485
ADD,37,16197.5,0.15615616,3.43311222,11,0.01701774,0.01903906,0.00122840
ADE,14,4865.0,0.48351648,3.90851299,11,0.00013189,0.00811985,0.00020497
ADF,1,158.0,0.00000000,4.48839138,12,0.00000000,0.00061325,0.00004494
ADH,2,320.0,1.00000000,4.86373687,12,0.00000000,0.00009602,0.00005691
ADK,1,96.0,0.00000000,5.21116639,13,0.00000000,0.00000523,0.00009654
ADL,24,60967.0,0.17028986,3.63239359,10,0.00658288,0.00389203,0.00174998
ADQ,1,3071.0,0.00000000,4.21614151,12,0.00000000,0.00027851,0.00024301
ADU,1,1077.0,0.00000000,4.20011056,12,0.00000000,0.00088124,0.00006776
ADZ,6,5033.0,0.73333333,4.21752349,12,0.00000846,0.00100717,0.00014939
AER,12,3175.0,0.54545455,3.87230514,11,0.00000148,0.00541436,0.00012447
AES,4,15724.0,1.00000000,4.28247651,12,0.00000000,0.00132962,0.00023726
AET,4,210.0,0.66666667,4.89441680,13,0.00000015,0.00002723,0.00012485
AEX,5,4124.0,0.70000000,3.92592593,12,0.00000287,0.00473902,0.00008104
AEY,6,2998.0,0.26666667,4.32144831,12,0.00138190,0.00049751,0.00021967
AFA,2,777.0,1.00000000,4.10668878,12,0.00000000,0.00065632,0.00006871
AFL,1,150.0,0.00000000,6.07960199,14,0.00000000,0.00000034,0.00008649
AFT,1,9.0,0.00000000,5.28385849,10,0.00000000,0.00000419,0.00004888
AGA,12,7813.5,0.50000000,3.59812051,11,0.00061857,0.01904278,0.00017151
AGE,1,56.0,0.00000000,6.37368712,14,0.00000000,0.00000045,0.00013086
AGF,2,480.0,1.00000000,3.68684356,11,0.00000000,0.00325986,0.00005325
AGH,3,7254.0,1.00000000,3.89690437,11,0.00000000,0.00361373,0.00012685
AGJ,1,392.0,0.00000000,4.64566059,12,0.00000000,0.00013308,0.00004483
AGL,3,111.0,0.33333333,4.74129353,10,0.00055157,0.00003028,0.00018239
AGN,2,168.0,1.00000000,4.90657822,13,0.00000000,0.00002651,0.00006584
AGP,47,68862.5,0.49398705,3.39939193,11,0.00085634,0.06187205,0.00071256
AGR,3,1956.0,0.33333333,4.11885019,11,0.00022617,0.00085416,0.00009345
AGS,2,7153.0,1.00000000,3.91072416,12,0.00000000,0.00356741,0.00008794
AGT,2,1648.0,1.00000000,4.09729132,12,0.00000000,0.00097445,0.00007608
AGU,7,7678.0,0.76190476,3.66445550,11,0.00000576,0.00513412,0.00011933
AHB,7,16245.0,0.66666667,4.08512991,11,0.00019324,0.00224440,0.00031077
AHE,2,184.0,1.00000000,4.51575456,12,0.00000000,0.00008969,0.00006717
AHN,1,342.0,0.00000000,4.15505804,12,0.00000000,0.00139872,0.00004378
AHO,9,9734.0,0.72222222,3.59977888,11,0.00000022,0.01273859,0.00012921
AHS,2,57.0,1.00000000,5.80071863,14,0.00000000,0.00000855,0.00007575
AHU,3,199.0,0.66666667,3.70342731,11,0.00003334,0.00396962,0.00006646
AIA,2,342.0,1.00000000,4.18490879,12,0.00000000,0.00124585,0.00007450
AIC,2,38.0,1.00000000,5.10143726,12,0.00000000,0.00001000,0.00008604
AIM,1,19.0,0.00000000,6.10060807,13,0.00000000,0.00000017,0.00010065
AIN,3,399.0,1.00000000,5.19872858,13,0.00000000,0.00000562,0.00013174
AIR,2,54.0,1.00000000,6.08126036,14,0.00000000,0.00000036,0.00011721
AIT,1,288.0,0.00000000,4.62631288,12,0.00000000,0.00004907,0.00007177
AIU,2,96.0,1.00000000,4.62603648,12,0.00000000,0.00004997,0.00005911
AIY,9,8903.0,0.72222222,4.03703704,12,0.00000033,0.00813260,0.00009874
AJA,5,7791.5,0.80000000,3.68352681,11,0.00000005,0.00643698,0.00012323
AJF,8,3146.0,0.71428571,4.08761747,11,0.00016255,0.00203501,0.00011199
AJI,1,267.0,0.00000000,4.48839138,12,0.00000000,0.00061325,0.00004734
AJL,2,714.0,1.00000000,4.38308458,11,0.00000000,0.00020577,0.00007447
AJR,2,600.0,1.00000000,4.07131012,12,0.00000000,0.00155997,0.00009348
AJU,5,11357.0,0.60000000,4.32310669,12,0.00001827,0.00060529,0.00020557
AKA,1,150.0,0.00000000,4.61912659,12,0.00000000,0.00014900,0.00004330
AKB,1,16.0,0.00000000,5.21227197,13,0.00000000,0.00000505,0.00004416
AKF,1,468.0,0.00000000,4.66169154,12,0.00000000,0.00028608,0.00005827
AKG,2,228.0,0.00000000,7.73134328,13,0.00000046,0.00000000,0.00025446
AKI,2,195.0,0.00000000,6.19347706,14,0.00000015,0.00000009,0.00017948
AKJ,3,12194.0,0.66666667,3.77501382,11,0.00000001,0.00266788,0.00013890
AKL,44,130494.0,0.17230444,3.25179657,10,0.01955260,0.01154406,0.00341965
AKN,6,1079.0,0.13333333,4.20895522,12,0.00276646,0.00028897,0.00039913
AKP,3,179.0,1.00000000,4.89469320,13,0.00000000,0.00002677,0.00010730
AKS,1,206.0,0.00000000,5.28385849,10,0.00000000,0.00000419,0.00021140
AKU,1,38.0,0.00000000,5.67910448,13,0.00000000,0.00000222,0.00008564
AKV,2,300.0,0.00000000,6.04311774,14,0.00027620,0.00000041,0.00027322
AKX,1,200.0,0.00000000,4.28496407,12,0.00000000,0.00047445,0.00004708
AKY,3,823.0,1.00000000,4.61304588,11,0.00000000,0.00009931,0.00008653
ALA,29,16207.0,0.30788177,3.28551686,11,0.00284894,0.02671549,0.00053532
ALB,23,49537.0,0.73913043,3.57048093,12,0.00033824,0.02807711,0.00038680
ALC,35,37603.5,0.63529412,3.48148148,11,0.00009083,0.05014620,0.00038704
