,Degree,Strength,Clustering Coefficient,Betweenness Centrality,Eigenvector Centrality,PageRank,Average Path Length,Maximum Path Length
ADA,7,10704.0,0.71428571,0.00001317,0.01068776,0.00020485,3.63239359,11
AGU,7,7678.0,0.76190476,0.00000576,0.00513412,0.00011933,3.66445550,11
AMS,192,481335.0,0.14283377,0.04049213,0.17145160,0.00538375,2.73134328,10
ATL,172,1129605.0,0.13783490,0.02489618,0.12207139,0.00860287,2.91542289,11
BCN,80,289105.0,0.32848101,0.00193230,0.08914620,0.00281650,3.27307905,11
CHC,20,64158.5,0.25263158,0.00336745,0.00418781,0.00161537,3.56522941,10
CHI,184,1329505.0,0.13417676,0.04444350,0.13810203,0.01017965,2.80790492,11
DJE,20,10198.5,0.70000000,0.00014586,0.03183126,0.00018064,3.57822001,11
FRA,237,697513.5,0.11696346,0.06557771,0.19554603,0.00770430,2.68214483,10
HOU,144,654154.5,0.16336441,0.01745704,0.09628632,0.00516273,2.98313986,11
LON,242,1464828.0,0.11234183,0.08498898,0.20037151,0.01560551,2.63515755,10
NYC,179,1524349.5,0.15755445,0.06928349,0.16058354,0.01247061,2.70840243,11
PAR,250,1023424.5,0.08915663,0.09342038,0.18028732,0.01272929,2.68767275,10
TBO,2,234.0,1.00000000,0.00000000,0.00012303,0.00007989,4.58319514,12
WAW,55,86836.5,0.45858586,0.00155695,0.07519898,0.00111978,3.24350470,11
ZVA,1,19.0,0.00000000,0.00000000,0.00000000,0.00009497,7.57517966,15
